htid	HTRecord	WWEnd ID	ISFDB ID	Title	Author	Year
inu.39000002159106	7593988	24973	3769	Lifeboat	Gordon R. Dickson & Harry Harrison	1976
pst.000012778713	7056948	24973	3769	Lifeboat	Gordon R. Dickson & Harry Harrison	1976
mdp.39015069301797	5571672	24980	884831	Logorrhea: Good Words Make Good Stories	John Klima	2007
uc1.32106017065423	7135302	25032	11462	A Scientific Romance	Ronald Wright	1997
mdp.39015010918665	456267	25073	33710	Magicats!	Jack Dann & Gardner Dozois	1984
mdp.39015005888089	203973	25077	2055	Dream Dancer	Janet Morris	1980
uc1.32106005109290	203973	25077	2055	Dream Dancer	Janet Morris	1980
mdp.39015024858774	204397	25078	27935	Cruiser Dreams	Janet Morris	1981
mdp.39015024856877	206010	25079	22901	Earth Dreams	Janet Morris	1982
uc1.32106008073303	7106142	25090	8399	Star-Anchored, Star-Angered	Suzette Haden Elgin	1979
uc1.32106008073287	7106140	25091	8400	Yonder Comes the Other End of Time	Suzette Haden Elgin	1986
mdp.39015074053946	5636070	25109	657721	Book of a Thousand Days	Shannon Hale	2007
pst.000065253199	12281277	25109	657721	Book of a Thousand Days	Shannon Hale	2007
pst.000006569464	7039881	25135	25757	Galactic Empires Volume One	Brian W. Aldiss	1976
pst.000049696721	7039881	25136	34970	Galactic Empires Volume Two	Brian W. Aldiss	1976
pst.000000018340	7491652	25139	38049	The Wheels of If	L. Sprague de Camp	1949
uiuc.2917644	100977649	25139	38049	The Wheels of If	L. Sprague de Camp	1949
mdp.39015005869790	160946	25150	1075	Superluminal	Vonda N. McIntyre	1983
inu.30000043463987	7587660	25153	2214	The Immortality Option	James P. Hogan	1995
mdp.39015048712288	485098	25199	605981	An Elephant for Aristotle	L. Sprague de Camp	1958
mdp.39015025344154	435217	25200	37496	The Travelling Grave and Other Stories	L. P. Hartley	1948
uc1.b3872940	10169002	25200	37496	The Travelling Grave and Other Stories	L. P. Hartley	1948
uva.x001000394	101866148	25204	3257	The Return of Conan	L. Sprague de Camp & Björn Nyberg	1957
mdp.39015025253819	2562130	25206	16057	The Catswold Portal	Shirley Rousseau Murphy	1992
pst.000031149693	12279093	25212	8620	Greenthieves	Alan Dean Foster	1994
pst.000019465890	5811516	25218	3437	Slipt	Alan Dean Foster	1984
uc1.b4386224	9512409	25260	3253	The Unbeheaded King	L. Sprague de Camp	1983
pst.000012691340	12276295	25263	27852	Conan the Adventurer	L. Sprague de Camp & Robert E. Howard	1966
pst.000013229726	7056937	25264	27843	Conan	L. Sprague de Camp & Lin Carter & Robert E. Howard	1967
pst.000013871406	7057033	25281	14179	The Road of Kings	Karl Edward Wagner	1979
osu.32435053364972	100824625	25325	11975	Woman from Another Planet	Frank Belknap Long	1960
osu.32435053364287	100824623	25326	814277	Mars Is My Destination	Frank Belknap Long	1962
osu.32435075037614	100824623	25326	814277	Mars Is My Destination	Frank Belknap Long	1962
uva.x000221509	102067130	25327	910190	It Was the Day of the Robot	Frank Belknap Long	1963
mdp.39015046886894	4019043	25335	1390389	The Intuitionist	Colson Whitehead	1999
mdp.39015058799936	3903270	25400	3772	Masters of Everon	Gordon R. Dickson	1979
mdp.39015005543049	1375229	25402	3747	The R-Master	Gordon R. Dickson	1973
pst.000021387128	6833384	25405	3749	Hour of the Horde	Gordon R. Dickson	1970
osu.32435053572517	100824532	25409	3745	Naked to the Stars	Gordon R. Dickson	1961
pst.000021387913	5813024	25409	3745	Naked to the Stars	Gordon R. Dickson	1961
mdp.39015047760072	1375228	25410	501341	None But Man	Gordon R. Dickson	1969
mdp.39015011802215	201283	25416	3763	Home from the Shore	Gordon R. Dickson	1978
mdp.49015000320532	4413952	25487	1948	Fire on the Mountain	Terry Bisson	1988
mdp.49015000002007	4381813	25493	4516	Through Darkest America	Neal Barrett, Jr.	1987
mdp.39015028914631	2729712	25498	1791	The Hereafter Gang	Neal Barrett, Jr.	1991
inu.39000003395287	7588079	25519	4531	Soul of the Robot	Barrington J. Bayley	1974
ppt.ssfcbz201808000194	102699372	25526	4535	Empire of Two Worlds	Barrington J. Bayley	1972
uc1.b4094422	6152097	25532	825974	One	David Karp	1953
mdp.39015058712269	4370146	25555	153571	The Boys Are Back in Town	Christopher Golden	2004
inu.39000003355935	6059582	25566	790601	The Other Passenger	John Keir Cross	1944
uc1.$b56446	6575896	25566	790601	The Other Passenger	John Keir Cross	1944
mdp.39015016451729	288777	25586	37661	Galactic Cluster	James Blish	1959
osu.32435057920597	5815144	25586	37661	Galactic Cluster	James Blish	1959
osu.32435057965782	5815144	25586	37661	Galactic Cluster	James Blish	1959
osu.32435074817214	5815144	25586	37661	Galactic Cluster	James Blish	1959
ppt.ssfcbz201808000136	5815144	25586	37661	Galactic Cluster	James Blish	1959
mdp.39015018999485	2231796	25620	6548	The Hollow Earth	Rudy Rucker	1990
mdp.39015024956388	2515986	25621	2321	Brain Child	George Turner	1991
uc1.b5181751	9827461	25623	964	The Trinity Paradox	Kevin J. Anderson & Doug Beason	1991
mdp.39015056181376	3826545	25627	322	River of Dust	Alexander Jablokov	1996
pst.000016320352	7492155	25628	22934	Oron	David C. Smith	1978
mdp.39015059124514	4737090	25663	155098	The Zenith Angle	Bruce Sterling	2004
mdp.39015008844212	1050802	25678	1564875	62: A Model Kit	Julio Cortázar	1968
txu.059173026595000	1050802	25678	1564875	62: A Model Kit	Julio Cortázar	1968
uc1.b4284713	1050802	25678	1564875	62: A Model Kit	Julio Cortázar	1968
mdp.39015011913632	428354	25760	4563	Watchers of the Dark	Lloyd Biggle, Jr.	1966
mdp.39015056817631	3851400	25762	4565	Silence is Deadly	Lloyd Biggle, Jr.	1977
uva.x000618893	101997816	25764	4569	The Light That Never Was	Lloyd Biggle, Jr.	1972
mdp.39015014439031	429112	25765	4567	Monument	Lloyd Biggle, Jr.	1974
mdp.39015011913673	472358	25767	37226	The Metallic Muse	Lloyd Biggle, Jr.	1972
uc1.b4432430	9517071	25768	37227	A Galaxy of Strangers	Lloyd Biggle, Jr.	1976
mdp.39015005282622	180304	25775	1278	SS-GB	Len Deighton	1978
uc1.b4355032	9508236	25791	1938	First Channel	Jacqueline Lichtenberg & Jean Lorrah	1980
mdp.39015004159029	210443	25827	2325	The Book of Merlyn	T. H. White	1977
mdp.39015050050437	210443	25827	2325	The Book of Merlyn	T. H. White	1977
uva.x000082164	102005841	25827	2325	The Book of Merlyn	T. H. White	1977
mdp.39015009128177	565611	25855	1025	Things Invisible to See	Nancy Willard	1985
uc1.32106007027953	370606	25855	1025	Things Invisible to See	Nancy Willard	1985
mdp.39015054132363	3595014	25863	1586	Maia	Richard Adams	1984
uc1.32106017817773	5250462	25863	1586	Maia	Richard Adams	1984
mdp.39015002734278	174688	25868	5079	The Ice is Coming	Patricia Wrightson	1977
uc1.b4102001	6154859	25868	5079	The Ice is Coming	Patricia Wrightson	1977
mdp.39015002338500	693282	25870	4703	Hawk of May	Gillian Bradshaw	1980
mdp.39015003978403	693282	25870	4703	Hawk of May	Gillian Bradshaw	1980
uc1.b4950660	693282	25870	4703	Hawk of May	Gillian Bradshaw	1980
mdp.39015003980722	188153	25871	1661	Kingdom of Summer	Gillian Bradshaw	1981
mdp.39015000530181	148721	25872	1728	In Winter's Shadow	Gillian Bradshaw	1982
mdp.39015008017744	778452	25875	1217	The Silent Gondoliers	William Goldman	1983
mdp.39015073817341	5861156	25901	1407325	The Road to Lisdoonvarna	Charles de Lint	2001
uc1.32106008868157	7107341	25912	2132	Death in the Spirit House	Craig Strete	1988
inu.30000026023311	7594215	25943	1643	Last Refuge	Elizabeth Ann Scarborough	1992
uc1.32106011612402	7107995	25958	2167	The Dark Half	Stephen King	1989
mdp.39015066824155	5551313	25988	596525	Bone Song	John Meaney	2007
mdp.39015060882134	5033292	25999	975278	Velocity	Dean R. Koontz	2005
mdp.39015021494060	2139170	26028	32028	The Other	Thomas Tryon	1971
uc1.b4975814	2139170	26028	32028	The Other	Thomas Tryon	1971
uc1.32106005749269	7115741	26029	14319	Harvest Home	Thomas Tryon	1973
mdp.39015022193885	176955	26032	29363	The Lastborn of Elvinwood	Linda Haldeman	1978
mdp.49015000485822	4430621	26075	2430	Ancient Images	Ramsey Campbell	1989
inu.30000037270976	7594160	26080	1490	Mrs. God	Peter Straub	1990
mdp.39015057599360	3880887	26084	776	X, Y	Michael Blumlein	1993
mdp.39015014497583	1296952	26095	1683	John Dollar	Marianne Wiggins	1989
mdp.39015037491332	3073149	26097	3582	Stainless	Todd Grimson	1996
